title,date,content,URL,category
Former cricket captain Gyanendra Malla retires from international cricket,"Friday, August 4, 2023","Kathmandu, August 4
Former cricket captain Gyanendra Malla has announced his retirement from international cricket.
Malla, who made his national team debut in 2006 in a 4-day match against Namibia in the ICC Intercontinental Cup qualifier in Windhoek, played his last game against Ireland in the ICC World Cup Qualifier in Harare in Zimbabwe.
He started his cricket career in 2005 playing for Nepal’s U15 side in the ACC U15 Cup. He was part of Nepal’s U19 team that went on win the Plate Cup in the U19 World Cup beating New Zealand in the final.
He played 37 ODI matches for Nepal scoring seven half-centuries. He also played 45 T20 internationals for Nepal scoring one century and two half-centuries.
He was part of Nepal’s golden area and played a pivotal role in taking Nepal from the depths of ICC World Cricket League – Division 5 to ODI status. In between, Malla was also part of the team that took part in the T20 World Cup in Bangladesh in 2014.",https://english.onlinekhabar.com/gyanendra-malla-retires.html,sports
2 Nepali cyclists taking part in Cycling World Championships,"Friday, August 4, 2023","Kathmandu, August 4
Nepali athletes are taking part in the Cycling World Championships for the first time.
Suraj Rana Magar and Usha Khanal are taking part in the championships that started on August 3 in Glasgow, Scotland. The championships will conclude n August 13.
Both are taking part in the mountain bike cross-country category.
The two will also represent Nepal in the 19th Asian Games in China.
Khanal won a silver medal in the mountain bike cross-country category in the 13th South Asian Games in 2019.",https://english.onlinekhabar.com/cycling-world-championships-nepal.html,sports
Velocity Pump Fest to be held on August 5,"Tuesday, August 1, 2023","Kathmandu, August 1
Nepal’s only pump track will host the Velocity Pump Fest on August 5.
The Velocity Pump Fest is a one-day event which puts riders against each other in an exciting competition of speed over the track.
The competition has been divided into different categories like kids, youth, junior riders, elite and masters.
The organisers say around 70 participants will take part in the one-day event which may see over 1,000 spectators.
The top three finishers in each category will be rewarded with a gift hamper. The winner of the elite category will be given a cash prize.
The event is being organized by Switchback Nepal and Himalayan Single Track with support from Giant.
The pump track was built with support from Velosolution in November 2022. The pump track is part of Velosolution’s Pump for Peace project through which the company aims to build pump tracks in underdeveloped countries with the aim of making cycling and action sports more accessible than ever before.
The event will start at 8.30 am and conclude at 4 pm.",https://english.onlinekhabar.com/velocity-pump-fest-nepal-pumptrack.html,sports
Olympian Gaurika Singh will not take part in Asian Games,"Tuesday, August 1, 2023","Kathmandu, August 1
Olympian Gaurika Singh is not taking part in the 19th Asian Games that will be held in Hangzhou, China.
She recently took part in the World Aquatic Championship being held in Fukuoka, Japan.
The list released by the National Sports Council does not have Singh’s name on it. Singh has taken part in two Olympics and holds multiple national records.
This comes as a surprise as Singh and Duana Lama were supposed to represent Nepal along with Alex Shah and Nasir Hussain following their excellent performance in the 11th NSA CUP Swimming Competition.
President of the Nepali Swimming Association, Ashok Bajracharya, had said the two male and two female swimmers who had the best time in the competition were going to be selected for Asian Games.
However, Singh’s name is not on the list of swimmers sent for the Asian Games with Anushiya Tandukar replacing her.
The Nepal Olympic Committee said it will release the full list of athletes taking part in the Asian Games in a few days.
National Sports Council had announced 234 would participate in the Asian Games.",https://english.onlinekhabar.com/gaurika-singh-asian-games-china.html,sports
Manish Dangi signs for Rayong FC in Thailand,"Monday, July 31, 2023","Kathmandu, July 31
Manish Dangi has signed for Rayong FC in Thailand. The club is currently in the second division of the Thai League.
He is the second Nepali to sign for a team in Thailand after goalkeeping legend Upendra Man Singh.
Dangi was playing for Sankata Football Club in the recently held A Division League.
Dangi made his national team debut against Iraq in 2021 where he scored his first goal. Since then, he has played 16 more times for Nepal scoring two more goals.
According to Rayong FC, he has already made his debut in a 2-1 win against Nagaworld FC where he provided an assist.",https://english.onlinekhabar.com/manish-dangi-rayong-fc.html,sports
Nepal to send 234 athletes for 19th Asian Games,"Friday, July 28, 2023","Kathmandu, July 28
Nepal is sending 234 players to the 19th Asian Games due to be held in Hangzhou from September 23 to October 8.
According to the National Sports Council, Nepal is taking part in 29 games.
Tanka Lal Ghising, the member secretary of NSC said the country had increased the number of players as the athletes in the country needed exposure.
“We have received Rs 200 million to go take part in the games,” said Ghising.
Games –
Table Tennis – 6 (3 men, 3 women)
Wrestling – 4 (2 men, 2 women)
Tennis – 6 (3 men, 3 women)
Shooting – 2 women
Rafting and Canoeing – 1 man
Golf – 6 (4 men, 2 women)
Athletics – 8 (4 men, 4 women)
Badminton – 8 (4 men, 4 women)
Swimming – 4 (2 men, 2 women)
Judo – 8 (4 men, 4 women)
Triathalon – 4 (2 men, 2 women)
Squash – 6 (3 men, 3 women)
Boxing – 13 (7 men, 6 women)
Wushu – 12 (7 men, 5 women)
Karate – 8 (4 men, 4 women)
Taekwando – 11 (6 men, 5 women)
Archery – 4 (2 men, 2 women)
Cycling – 2 ( 1 man, 1 woman)
Fencing – 6 (3 men, 3 women)
Weightlifting – 4 (2 men, 2 women)
Dance sport – 1 man
Esports – 5 ( names to be finalised)
Women’s football – 22
Women’s Kabaddi – 12
Women’s Handball – 16
Men’s Rugby – 12
Men’s Cricket – 15
Women’s Basketball U-23 (3×3) – 4
Women’s Volleyball – 12
Men’s Volleyball – 12",https://english.onlinekhabar.com/nepal-athletes-for-asian-games.html,sports
Nepali women’s football team drawn into a tough group in the 19th Asian Games,"Thursday, July 27, 2023","Kathmandu, July 27
The Nepali women’s football team have been drawn into a tough group in the forthcoming Asian Games due to be held in China.
Nepal have been drawn against Japan, Vietnam and Bangladesh.
A total of 19 countries will participate in the Asian Games Women’s Football. There are two groups with four teams and three groups with three teams.
The winners of all five groups and the three best runner-up teams will advance to the quarterfinals.
The Nepali women’s football team is making their debut in the Asian Games.",https://english.onlinekhabar.com/nepali-womens-football-asian-games.html,sports
Nepal to face Laos in the first round of the 2026 World Cup Qualifier,"Thursday, July 27, 2023","Kathmandu, July 27
Nepal have been drawn against Laos in the first qualifying round of the 2026 World Cup Qualifiers.
The home-and-away legs will be played on October 12 and October 17. The first leg will be played at Dashrath Stadium on October 12.
If Nepal beat Laos, they will reach the second qualification round of the 2026 World Cup Qualifiers.
Nepal beat Laos twice in the recently held Prime Ministers’ Three National Cup.
Head coach Vincenzo Alberto Annese has called up 30 players to this preliminary squad for the 2026 World Cup Qualifiers.
Annese has decided to leave six players from the squad who were part of the recently held SAFF Championship.
Notable absentees from the squad include Bishal Shrestha, Nishan Khadka, Navin Lama, Mani Kumar Lama, Pujan Uperkoti and Dipak Raj Singh Thakuri.",https://english.onlinekhabar.com/nepal-laos-2026-world-cup-qualifier.html,sports
Nasir Yahya Hussain and Gaurika Singh set national records in World Aquatic Championship,"Monday, July 24, 2023","Kathmandu, July 23
Nasir Yahya Hussain and Gaurika Singh have set national records in the 20th edition of the World Aquatic Championship 2023 being held in Fukuoka, Japan.
Ashok Bajracharya, president of the Nepal Swimming Association informed that Hussain has set a new national record in the 200m freestyle with a time of 1 minute 57.26 seconds. He broke his own time of 1 minute 58.23 seconds which he had set during the 11th NSA Cup Championship.
On Sunday, Hussain set a new national record of 4 minutes 8.23 ​​seconds in the 400m freestyle.
Similarly, Gaurika Singh has also set a new national record in the 100m backstroke with a time of 1 minute 6.80 seconds. She broke her own time of 1 minute 7.31 seconds set during the 12th South Asian Games in Guwahati, India.",https://english.onlinekhabar.com/nasir-hussain-gaurika-singh-national-records.html,sports
Nasir Yahya Hussain sets new national record in 400m freestyle in World Aquatic Championship 2023,"Sunday, July 23, 2023","Kathmandu, July 23
Nasir Yahya Hussain has set a new national record in the World Aquatic Championship 2023 held in Fukuoka, Japan.
Ashok Bajracharya, president of the Nepal Swimming Association, said Nasir set a new record in 400 metres freestyle with a time of 4 minutes 8.23 seconds.
He has improved his previous record of 4 minutes 12.17 seconds.
Earlier, Hussain set the record in the 11th NSA Cup held in June.
Hussain will compete in the men’s 200m freestyle and Gaurika Singh in the 100m backstroke on Monday.",https://english.onlinekhabar.com/nasir-yahya-hussain-national-record.html,sports
Nepal cricket team to prepare for Asia Cup in Sri Lanka,"Friday, July 21, 2023","Kathmandu, July 21
Nepal’s cricket team will be preparing for the Asia Cup by setting up a camp in Sri Lanka.
Cricket Association of Nepal (CAN) issued a statement on Friday and said that it will organise a 15-day special high-performance camp in Sri Lanka for the Asia Cup.
“The cricket team is all set for the Asia Cup and to ensure they are in top-notch form, we are organising a 15-day high-performance camp in Sri Lanka,” said CAN.
The players are currently in Sri Lanka after getting knocked out of the ACC Emerging Team’s Asia Cup.
According to CAN, the players will undergo rigorous training, and play four practice matches against Sri Lankan development sides under the guidance of experienced coaches, and support staff.
The team is going to Sri Lanka, as it cannot practice in Nepal due to the onset of the monsoon.
The team will play their first game against Pakistan on August 30 in Multan, Pakistan. Nepal’s second game, however, will take place in Kandy, in Sri Lanka on September 4.
This will be Nepal’s first participation in the Asia Cup.",https://english.onlinekhabar.com/nepal-cricket-team-asia-cup.html,sports
Emerging Team’s Asia Cup: Nepal beat UAE A to bag consolation win,"Wednesday, July 19, 2023","Kathmandu, July 19
Nepal beat the UAE A side on Wednesday to finish the Emerging Team’s Asia Cup with a consolation win.
Winning the toss yet again, Nepal put the UAE A to bat first. Despite a cautious start by the UAE A side, Nepali bowlers, Kushal Bhurtel in particular, demolished the opponent taking up six wickets. Apart from Lovepreet Singh, no batter looked comfortable as the UAE A were all out for 157.
In reply, Bhurtel dominated with the bat. Even though he lost his opening batter Arjun Saud in the very first ball, he attacked the UAE A bowlers putting up 71 of 43 balls and giving Nepal the perfect start.
Even though Nepal lost wickets regularly, the score proved too little as Nepal won the game by three wickets.
With this victory, Nepal finished third in the group and missed out on the semi-final after losing to Pakistan A and India A.",https://english.onlinekhabar.com/emerging-teams-asia-cup-nepal-uae-a.html,sports
Nepal Unilever Limited to sponsor Nepal women’s football team,"Tuesday, July 18, 2023","Kathmandu, July 18
Nepal Unilever Limited will be sponsoring the Nepali women’s football team.
All Nepal Football Association will be signing an agreement with Nepal Unilever Limited on Tuesday afternoon.
The women’s team has recently returned after winning the FIFA International Women’s Football Series 2023 against Bangladesh on penalties.
The team will now compete on the international stage as they will take on the Asian heavyweights at the 19th Asian Games in China.",https://english.onlinekhabar.com/nepal-unilever-limited-womens-football.html,sports
Man Bahadur Shrestha appointed new volleyball captain,"Tuesday, July 18, 2023","Kathmandu, July 18
Man Bahadur Shrestha has been appointed the new captain of the men’s volleyball team by the Nepal Volleyball Association.
He replaces Hari Hajur Thapa as the captain of the team. Thapa was removed from his post after failing to control his players who were suspended for laying their hands on spectators during the 7th Prime Ministers Cup NVA Women’s and Men’s Volleyball.
Shrestha has been part of the national volleyball team since 2015 and has represented Nepal in all five Central Zone Volleyball along with the CAVA National League.",https://english.onlinekhabar.com/man-bahadur-shrestha-volleyball-captain.html,sports
Emerging Team’s Asia Cup: India A humiliate Nepal to send them packing,"Tuesday, July 18, 2023","Kathmandu, July 18
Nepal have crashed out of the Emerging Team’s Asia Cup after being humiliated by India A by nine wickets at the R. Premadasa International Cricket Stadium on July 18.
Winning the toss, Nepal choose to bat first and got off to a horrible start after Kushal Bhurtel was trapped LBW in the second ball to Harshit Rana.
The young Indian bowlers continued to trouble the Nepali batters as they struggled with pace and bounce as the team was reduced to 37 for five by the 10th over.
Rajvardhan Hangargekar along with Rana, who have played in the IPL, got rid of Nepal’s top and middle order with relative ease.
Captain Rohit Paudel put up a 50-run stand with Sompal Kami and Gulshan Jha to take the score over 100 but as all three got out, Nepal were reduced to a bellow par score of 167 as left-arm orthodox spinner Nishant Sindhu proved too good for the Nepali lower order.
In reply, India reached the total with relative ease. The experience of playing in pressure situations meant Sai Sudarsan and Abhishek Sharma, took the game away from Nepal 139 run stand between them.
The Nepali bowlers did not trouble the due as they helped India to a comfortable win by the 23rd over.
Nepal’s captain Paudel took the only wicket of the Nepali innings.
With this loss, Nepal are out of the tournament after losing to both Pakistan A and India A. They will play a dead rubber against the UAE on July 19.",https://english.onlinekhabar.com/emerging-teams-asia-cup-india-a.html,sports
Nepal beat Bangladesh on penalties to win FIFA International Women’s Football Series,"Monday, July 17, 2023","Kathmandu, July 17
Nepal won the FIFA International Women’s Football Series 2023 against Bangladesh on penalties.
After both games ended in a stalemate, the series had to be decided on penalties.
Nepal drew the first game 1-1 thanks to a late strike from Sabitra Bhandari who cancelled out a goal from Sabina Khatun.
The second game ended 0-0 after which the winner of the series had to be decided via a penalty shootout which Nepal won 4-2.
Bhandari, Hira Bhujel, Dipa Shahi and Anita KC all converted their penalties while Anjana Rana Magar hit the post.
In reply, Anjana Rana Magar, who was substituted in the final minute, saved two penalties giving Nepal the win.",https://english.onlinekhabar.com/nepal-win-fifa-international-womens-football-series.html,sports
3 volleyball players suspended for laying hands on spectators,"Sunday, July 16, 2023","Kathmandu, July 16
Nepal Volleyball Association (NVA) has taken action against three Nepal Army players for laying their hands on a spectator. All three players have been suspended.
Dhan Bahadur Bhatta, Rajendra Bista and Dhanpati Kunwar went to the stands and laid their hands on spectators during their game against Gandaki Province during the 7th Prime Ministers Cup NVA Women’s and Men’s Volleyball
For their lack of discipline, the association has suspended Bhatta for six months while Bista and Kunwar have been suspended for three months each.
The suspended players will not be allowed to take part in both domestic and international tournaments.
Durga Khadka, however, was let off with a warning.
This has also led to the removal of Hari Hajur Thapa as national team captain. The association believes Thapa, who could not control his players, is not fit to be the national team captain.",https://english.onlinekhabar.com/volleyball-players-suspended.html,sports
