title,date,content,URL,category
Adventure tourism in Nepal: Regulation and safety concerns reach alarming levels,"Thursday, August 3, 2023","On July 26, Anjita Bhandari, a 22-year-old resident of Pokhara metropolitan city, went canyoning. As an adventure lover, she wanted to experience doing something new. But her harness broke, and she fell and lost her life. This was not the only adventure tourism-related death in the country in the year.
In February 2023, a woman in her 50s from Birendranagar in Surkhet, tragically died after falling from a swing at the Tree House Funpark, operated by Kankrebihar Funpark and Resort, Birendranagar-4. Two others were injured in the same incident.
In 2022, four people were injured in a Ferris Wheel accident in Pokhara while a 16-year-old boy died in a go-kart accident in February 2021.
Paragliding, which has been quite popular in Nepal, has seen its fair share of accidents too. In October 2022, Nisim Thapa, a Nepali Army paraglider, lost his life in a paragliding accident during the National Games.
Prior to this incident, there had been 16 other fatalities in paragliding accidents in the country, making a total of 17 major accidents in the one-and-a-half-decade history of commercial paragliding in Nepal. Ultralights have also been involved in multiple accidents in the region.
The above examples show no one is safe. The safety concerns surrounding adventure tourism and recreational activities in Nepal are becoming alarming. This has brought to light the inadequate regulation by both local and federal governments.
The absence of regular monitoring, and safety standards in adventure tourism activities has led to frequent occurrences of accidents in recent times. While the government does take ad-hoc steps and take action against the companies, a lack of oversight has meant these incidents continue to occur.
Experts say numerous companies offering adventure tourism activities are not adhering to essential safety standards and are lacking sufficient security measures. Consequently, accidents have been increasing, raising serious concerns among stakeholders in the industry.
The stakeholders worry that this situation could tarnish Nepal’s reputation as a safe and reliable destination for adventure enthusiasts and tourists. They feel urgent action is required to address these issues and ensure the well-being of visitors participating in such activities in Nepal.
It is clear that adventure tourism in Nepal is currently facing a concerning issue of inadequate regulation standards. Despite the Tourism Act of 1978 stipulating that these activities must obtain official permission to operate, numerous ventures are running without acquiring the necessary approvals from the department.
While certain activities may have received registration and authorisation at the local level, there are others that are operating without any formal registration, leading to a lack of oversight and potential safety concerns.
The Department of Tourism has been urging local authorities to take responsibility to ensure the safety of people indulging in adventure tourism activities. According to Hom Prasad Luitel, the Director General of the department, there is a concern that certain activities are being conducted without adhering to the necessary standards.
“It is not possible for us to go to all the places from Kathmandu and monitor,” he says. “We have asked the local level to take leadership and monitor these businesses to ensure safety.”
In 2018, tragic incidents occurred in Nepal’s rivers, with one person losing their life in a rafting accident at Chatra in Sunsari, and another fatality involving an Australian on the Karnali river. Prior to these events, there had been a history of recurrent accidents in Nepal’s rivers.
However, it is significant that since 2018 there have been no reported fatal rafting accidents on the rivers, indicating a period of improved safety measures and a decline in such unfortunate incidents.
Maniraj Lamichhane, a director at Nepal Tourism Board, stresses the negative impact that a fatal accident can have on Nepal’s tourism image, emphasising the need for stringent safety measures to avoid such incidents.
“These incidents can happen at any time as these are risky activities. But that said we can work towards making it much safer for everyone,” says Lamichhane.
In February, the Department of Tourism issued a notice and directed that all types of adventure tourism activities should be registered and operated only with a license in accordance with the Tourism Act 1978.
Rafting, paragliding, jungle riding, camping, hiking, skiing and other specified businesses were asked to undergo the mandatory registration process. Luitel says all district administration offices have been notified.
He says that the government urges adventure tourism activities like water rafting, jungle safari, trekking, and mountain climbing to be conducted through registered agencies. Even activities with local-level permission must provide detailed engineering design as instructed by the Tourism Department.
At the same time, he informs that similar instructions have been given to the recently commissioned Sky Walk Tower in Kathmandu. “This is an adventurous product that has been operated with the permission of the local level,” he says. “But we have asked for safety guarantees and engineering designs to ensure safety.”
Stakeholders in the mountaineering community are dismissing accidents as mere chance or fate. There has been a persistent call for allowing only skilled climbers in the mountains to ensure effective weather information and to prevent climbing for mere fashion or advertising purposes. Unfortunately, the government has been unable to implement such measures due to the influence of financial interests and royalties.
This story was translated from the original Nepali version and edited for clarity and length.",https://english.onlinekhabar.com/adventure-tourism-nepal-safety.html,travel
Kathmandu valley is surrounded by hills. But which hill is where?,"Thursday, August 3, 2023","Kathmandu valley, made of Kathmandu, Lalitpur and Bhaktapur, is surrounded by hills, so the natural landscape offers people here a diverse range of experiences. From spiritual pilgrimage sites to hiking trails, all lead to stunning viewpoints.
Each hill has its unique charm, making them popular destinations for locals and tourists alike, seeking solace, adventure, and captivating views of the picturesque valley and the majestic Himalayas. Here are a few of the hills around Kathmandu valley:
Champadevi is a popular destination for Kathmandu dwellers. This hill is situated to the south of Kathmandu valley and is revered for its religious importance and natural beauty including bird watching enthusiasts. The distance from Ratnapark to Pharping is around 15 km and is perfect for one day hike or a quick getaway destination.
This hill stands at an elevation of approximately 2,278 metres (7,474 feet) above sea level. There are also a few hiking trails on the hill, ranging from easy to moderate.
The hill is famous for the Champadevi Temple, a sacred Hindu pilgrimage site dedicated to the goddess Champadevi. The trek to the hilltop is an enjoyable experience, passing through scenic landscapes, Salla trees (Shorea robusta) and a view of the mountains in the backdrop.
How to reach: Champadevi is located 15 kms from Ratnapark. You can reach there by car, taxi, or local bus.
Chandragiri is located southwest of Kathmandu valley and offers breathtaking views of the valley and the surrounding mountains. Chandragiri not only offers a breathtaking view from its hilltop but also provides a scenic and adventurous journey to get there. With a 360-degree view, the place is arguably the best hilltop in the valley. It is especially popular because of its accessibility thanks to the cable car.
The hill stands at an elevation of around 2,551 metres (8,369 feet) above sea level, providing a refreshing escape from the urban chaos.
The major landmark on the hilltop is the Bhaleshwar Mahadev Temple, a revered Hindu pilgrimage site. Visitors also enjoy the well-maintained Chandragiri Park, with children’s play areas and picnic spots. Restaurants, cafes and resorts on the top of the hill are also perfect for city dwellers to can enjoy the day out, with a good meal or snack while taking in the views. Other popular activities in Chandragiri include hiking, biking, and ziplining.
How to reach: Chandragiri is located 14 km from Ratnapark. You can reach there by car, taxi, bus or board the dedicated shuttle to the destination. Alternatively, you can also take a cable car ride from Thankot.
Shivapuri is a popular spot for hiking and nature lovers as it is home to the Shivapuri National Park, which is a popular destination for bird watching and wildlife viewing. Shivapuri lies on the northern side of Kathmandu and is famous for its serene ambience and rich biodiversity. The main landmark of Shivapuri is the Shivapuri Mahadev Temple along with Bagdwar and Bishnudwar, the origins of the Bagmati and Bishmati rivers. There are also a few hiking trails on the hill, ranging from easy to challenging. And each destination gives you a different, unique view.
Shivapuri stands at an elevation of approximately 2,732 meters (8,963 feet) above sea level, making it the second-highest peak in the Kathmandu valley. Along with the Mahadev Temple, the place is home to Nagi Gompa, a Buddhist monastery where visitors can experience a sense of tranquillity and spirituality. The trek to the hilltop also views of the forest, glimpses of different birds and a view of the Kathmandu valley.
How to reach: Shivapuri is located 22 km from Ratnapark. You can reach there by car, taxi, or bus. You can start your hike from either Budhanilkantha or Sundarijal.
Nagarjun, also known as Jamacho, is situated to the northwest of Kathmandu valley and is renowned for its natural beauty and religious significance. It provides a perfect spot for hiking and meditation as well as day trips from Kathmandu for locals, hikers, and tourists due to its proximity to the city.
It is the easiest and shortest hike in the valley. The views from the top of Nagarjun are simply stunning as on a clear day, one can see the panoramic views of the Kathmandu valley, with Mount Everest in the backdrop.
The highlight of this hill is the forest which has diverse flora and fauna, including several species of birds and animals.
How to reach: Nagarjun is located 12 km from Ratnapark. You can reach there by car, taxi, or bus to Balaju and then continue your journey on foot.
Phulchoki is located to the southeast of the Kathmandu valley and is famous for its lush forests and commanding views. It stands at an elevation of about 2,762 metres (9,061 feet) above sea level, making it the highest peak among the hills surrounding the valley.
One of the prominent landmarks on this hill is the Phulchoki Mai Temple, a sacred Hindu shrine dedicated to the goddess Phulchoki. From the hilltop, visitors can enjoy panoramic views of the entire Kathmandu valley, with sprawling settlements, terraced fields, and majestic mountains creating a picturesque panorama. The hill is well-liked by nature enthusiasts, birdwatchers, and trekkers who seek a serene escape from the city.
How to reach: Phulchoki is 25 km away from Ratnapark. You can reach there by car, taxi, or local microbus to Godavari. From there, you will have to walk to the top.
Kakani, popular for strawberries, is situated to the northwest of the Kathmandu valley.
Like others too, this hill is also famous for birdwatching as it is home to a variety of birds, including hawks, eagles, and pheasants. And there are even a few hiking trails on the hill, ranging from easy to moderate giving panoramic views of the Himalayas to the hikers and travellers there.
It stands at an elevation of approximately 2,073 metres (6,801 feet) above sea level so the view of the mountains is guaranteed to be amazing. The hill is a popular spot for day trips and picnics due to its accessibility and the breathtaking view of the snow-capped peaks, including Annapurna, Manaslu, Ganesh Himal, and Langtang ranges.
In addition to the views, Kakani is also known for its flower farms, especially during the blooming season, adding vibrant colours to the landscape. The serene atmosphere and pleasant climate of Kakani make it a preferred destination for both locals and tourists seeking a quick escape from the city. While there, do not miss out on its famous trouts.
How to reach: Kakani is located 28 km from Ratnapark. You can reach there by car, taxi, or bus up to Kakani Bazaar.
Nagarkot is one of the most popular tourist destinations in Nepal, both for day trips and short to long vacations from Kathmandu. People reach Nagarkot even just for its stunning sunrises and sunsets.
Nagarkot is located to the northeast of the Kathmandu valley and stands at an elevation of about 2,195 metres (7,201 feet) above sea level. It is a sought-after destination for visitors seeking a serene retreat and also a popular spot for hiking, biking, and camping.
There are also a few hiking trails on the hill, ranging from easy to moderate awarding visitors with stunning views of the Himalayas. Nagarkot offers a range of accommodation options, making it an ideal spot for overnight stays and a peaceful getaway from the city.
How to reach: Nagarkot is located 32 kilometres from Ratnapark. You can reach there by car, taxi, or bus.",https://english.onlinekhabar.com/hills-around-kathmandu-valley-nepal.html,travel
"Tourist arrivals cross 534,000 as Chinese tourists continue to increase","Wednesday, August 2, 2023","Kathmandu, August 1
The number of Chinese tourists coming to Nepal is gradually increasing. During the first six months of 2023, India and the US held the top positions for tourist arrivals in the country, but in July, Chinese tourists surged to the second spot.
According to Maniraj Lamichhane, the director of the Nepal Tourism Board, 57,726 tourists visited Nepal in July. Among them, 21,357 were Indian tourists, making them the largest group. Chinese citizens ranked second with 5,593 people, and American tourists were in third place with 5,561 visitors, as reported by the board.
In Nepal, June, July and August are considered lean months for tourists. This is evident by the poor number of arrivals from the US and Europe. The country, however, has seen an influx of Indian tourists during this period as many leave India to beat the heat and come to Nepal, which is a lot cooler thanks to the monsoon.
According to tourism entrepreneurs, even Chinese citizens do not pay much attention to the weather when travelling. As a result, tourism professionals believe that creating a tourism-friendly environment in Nepal could help convey the message that Nepal is a suitable destination for all seasons, appealing to Chinese tourists and others alike.
According to Youb Raj Shrestha, the treasurer of the Hotel Association of Nepal (HAN), Chinese tourists visit Nepal in large groups even during the off-season, which benefits local businesses. Meanwhile, businesspersons note that Indian tourists particularly enjoy the food offerings in Nepal.
Furthermore, Chinese tourists show a preference for travelling, shopping, and participating in tourism activities, ensuring that adventure tourism activities thrive even during the off-season.
The number of tourist arrivals for 2023 has reached 534,207 as of July 31.
Monthly arrivals –",https://english.onlinekhabar.com/tourist-arrivals-nepal-july.html,travel
SC issues interim order to not implement VAT on air ticket,"Monday, July 31, 2023","Kathmandu, July 31
The Supreme Court issued an interim order on Sunday, asking the government to not implement value-added tax (VAT) on air tickets.
The court issued such an order in response to a writ petition filed by the Nepal Association of Tours and Travels Agent (NATTA).
A single bench of Justice Anil Kumar Singha issued the order and also summoned the government side for discussion.
NATTA had moved the SC on July 17, seeking mandamus with certiorari against the government’s decision to impose VAT on air tickets.
In the budget presentation for the fiscal year 2023/24, Finance Minister Prakash Sharan Mahat announced the implementation of VAT on air tickets.
Tourism entrepreneurs are concerned about the negative impact of the newly imposed VAT on air tickets, as it could adversely affect the tourism business. The burden of this tax is expected to be borne by both travel companies and passengers, as stated by NATTA.",https://english.onlinekhabar.com/sc-vat-on-air-ticket.html,travel
Nepal’s struggle with unorganised and unstable public transportation crowds,"Monday, July 31, 2023","In the bustling city of Kathmandu, navigating through the chaotic streets has become a daily adventure for residents. From cramped buses to jam-packed microbuses, the struggle to secure a spot onboard becomes an art in itself.
Passengers eagerly wait at designated stops, bracing themselves for the battle of finding a seat or even a comfortable standing spot. Amidst the chaotic scenes, it becomes evident that the existing public transportation system is strained beyond its capacity.
If you live in Nepal, it is highly probable that you have encountered challenges while travelling in public vehicles, especially on the roads of Kathmandu.
The morning and evening hours are notorious for being the busiest and most crowded for buses. The situation becomes more concerning as, despite the people’s safety and capacity limits of the vehicles, conductors often command passengers to shift and accommodate additional people inside.
This practice leaves no proper space for standing, leading to overcrowding conditions within the vehicle. Consequently, conflicts and arguments frequently arise between conductors and passengers, further exacerbating the unsafe and unfriendly environment.
Moreover, it poses a significant risk to the safety and well-being of passengers. The tightly packed space increases the risk of suffocation, physical harm, and even incidents of theft or robbery. Many individuals have experienced the unfortunate loss of their phones while travelling on buses. These conditions create an environment that compromises the security and comfort of passengers.
Additionally, this unmanaged and overcrowded state of public transportation has been identified as one of the main contributors to the rapid spread of Covid 19 in Nepal in recent years. The close proximity among passengers, lack of ventilation, and the difficulty of maintaining physical distancing all contribute to the increased transmission of the virus within these settings. This highlights the urgent need for improved crowd management and adherence to safety protocols in public vehicles.

The unmanaged and unmaintained condition of roads has created a significant safety concern for passengers. The poor state of many roads, particularly in remote areas, poses risks to travellers.
Due to inadequate maintenance, many roads suffer from potholes and uneven surfaces. The improper tarmacking of roads contributes to an increase in pollution levels, causing breathing problems for the people around. These road conditions can cause discomfort to passengers, but more importantly, they increase the risk of accidents.
Moreover, the number of public vehicles is insufficient compared to the demand from the population. As a result, people often have to endure long waiting times to catch a bus. The scarcity of buses not only causes delays in reaching workplaces and schools but also exacerbates the issue of overcrowding when buses finally arrive due to the high number of people waiting.
Many have witnessed people not properly following the laws of public vehicle seats. The lack of adherence to proper seating laws by some citizens remains a concerning issue. Despite the clear designation of seats for women at the top of buses, it is disheartening to witness men occupying these seats, disregarding the established rules and showing a lack of respect for women’s rights in these designated spaces.
It is important for individuals to show empathy and respect towards those in need and offer a seat, particularly to individuals with younger children and the elderly. By doing so, they demonstrate consideration for the well-being and dignity of fellow passengers who may require seating for reasons of safety, comfort, or mobility.
Promoting awareness campaigns that emphasize the importance of following seating regulations, respecting designated spaces for women, and encouraging acts of courtesy towards those who require priority seating can contribute to a more inclusive and considerate public transportation system. Additionally, transportation policies and authorities can play an active role by inspecting regular checks and enforcing these regulations and providing training to bus conductors and staff on promoting and maintaining a safe and respectful atmosphere within public vehicles.",https://english.onlinekhabar.com/nepal-poor-public-transportation.html,travel
Landslide disrupts Narayangadh-Muglin road again,"Sunday, July 30, 2023","Muglin, July 30
Narayangadh-Muglin road section has been again blocked by a landslide.
According to District Police Office, Chitwan’s Spokesperson Deputy Superintendent of Police, Bijay Raj Pandit, a landslide that occurred at 9 am on Sunday hit the highway near Kalikhola of Ichchhakamana rural municipality-6, rendering it unfit for vehicular traffic.
Subsequent landslips since then have aborted efforts to restore the traffic.
Traffic along the route has remained frequently disrupted due to landslides time and again.",https://english.onlinekhabar.com/landslide-narayangadh-muglin-road.html,travel
Mingma David Sherpa sets a new record by climbing K2 for the 6th time,"Friday, July 28, 2023","Kathmandu, July 28
Mingma David Sherpa has broken his own record by reaching the summit of K2 for the sixth time.
Sources at the base camp said Mingma David reached the summit of K2 for the sixth time on Thursday.
Mingma David who is the youngest person to climb all 14 eight thousand metre mountains, climbed K2 for the first time on July 26, 2014.
He reached the top of the killer mountain in 2018, 2021 and twice in 2022. He was part of the only team which has climbed K2 in the winter.",https://english.onlinekhabar.com/mingma-david-sherpa-k2.html,travel
"Tenjen Sherpa and Kristin Harila create history by climbing all 14 8,000m mountains in 92 days","Thursday, July 27, 2023","Kathmandu, July 27
Tenjen Sherpa (Lama) along with his client Kristin Harila created history in Pakistan on Thursday.
With their latest summit, the two have climbed all 14 eight-thousanders in 92 days obliterating the previous record held by Nirmal Purja Magar (Nimsdai.)
Sherpa and Harila started their journey in Tibet by climbing Shishapangma on April 26 and Cho Oyu on May 3.
They came to Nepal and climbed Makalu, Kangchenjunga, Everest, Lhotse, Dhaulagiri, Annapurna and Manaslu between May 13 and June 10.
The two then set their sights on the Karakorum where the two climbed Nanga Parbat, Gasherbrum II, Gasherbrum I, Broad Peak and K2 between June 26 and July 27.
In 2022 Harila had come close to beating Purja’s record time for climbing all 14 eight-thousanders in a season. But, when China did not give her permits to climb the two mountains in Tibet, she had to give up last year.",https://english.onlinekhabar.com/tenjen-sherpa-and-kristin-harila-record-14peak.html,travel
"There are problems with the TIMS card in Nepal, but it is time stakeholders sought solutions to improve it","Wednesday, July 26, 2023","I am a regular traveller and trekking enthusiast who has been relishing high-altitude adventures around Nepal’s Himalayas for a long time. I have been observing the TIMS implementation in Nepal’s three main regions, Everest, Annapurna, and Langtang, and how there is a gap in the understanding between operators, customers and the government.
TIMS (Trekker’s Information Management System) card is a basic trekking permit that trekkers need to acquire before their exploration of the glorious Himalayan regions, mainly Everest, Annapurna and Langtang.
The Nepal Tourism Board revised the TIMS provision, making it a mandatory permit for mainstream trekking routes in Nepal, like Everest, Annapurna and Langtang region, including a few others.
The fee for this mandatory trekking permit costs NPR 1,000 for SAARC (South Asian Association for Regional Cooperation) citizens and NPR 2,000 for residents of other countries.
Although some experts saw this decision as a restriction on the free movement of trekkers that could potentially be counter-productive for the growth of the tourism industry in the country. This joint initiative of both the Nepal Tourism Board (NTB)  and the Trekking Agencies Association of Nepal (TAAN) aims to strengthen the safety and easy accessibility factors for all trekkers.
Every year 10- 15 trekkers go missing during their journey in the Himalayas, especially trekkers from the FITs (Free Independent Trekkers) category, and it has become a major concern in recent years. In 2022 alone, two South Korean tourists lost their lives during their trekking adventure in the Himalayas.
Thus, with the implementation of this policy, the Nepali authority aims to boost the confidence of the trekkers as the TIMS card will make the search and rescue of the trekkers more convenient and effective. Plus, it will ensure the protection of the assets and belongings trekkers take with them in their exploration.
The government making the TIMS cards mandatory has also received mixed reactions from the trekkers; some have complained it has restricted their freedom; meanwhile, others have applauded the decision that has added safety factors to the Himalayan exploration.
TIMS card maintains the data of the trekkers along the route in the computerised database management system, boosting safety and security factors. At the same time, it also controls the unauthorised trekking operations that have been jeopardising the local business and even putting the trekkers at risk.
This will significantly improve the overall management of the trekking service in the country, which will benefit not only the field staff but also the tour operators and government agencies. Furthermore, this policy also promotes the local authorised services, which certainly contribute to the economy of the country, paving the path for better management and sustainability of the mountain tourism development in the country.
The trekkers under the FITs (Free Independent Trekkers) category are especially unhappy about the new policy set by the Nepali authority. Independent trekkers see the decision as a restriction to their movement for their solo adventure of the Himalayas.
Independent travellers prefer to plan trips on their own and especially like to avoid hiring staff from an agency. Their major concern is that this new policy adheres to the added expenses on their budget-friendly adventures. On top of that, the Ministry of Culture, Tourism, and Civil Aviation has set fines for trekkers who don’t have TIMS cards for their expeditions.
Trekkers on the adventure without a TIMS card and a guide will be banned from the trek and liable for a Rs 12,000 fine. Similarly, the trekking company which sends trekkers without TIMS cards will be fined Rs 10,000 and will have to get a TIMS card for each of the expedition members.
The mandatory use of the TIMS card ensured the safety of the trekkers at the same time minimising the probable risk factors during the expedition. It also guarantees the facilities and services of the guide expedition that doesn’t just emphasise the trekkers but their properties as well.
According to Madhav Prasad, co-founder of Mosaic Adventure, TIMS is a highly significant tool implemented by the government of Nepal, benefiting trekkers, tour operators, and the country’s revenue generation. It stands as one of the finest measures for promoting the sustainable development of trekking trails, earning admiration from both local communities and trek operators.
Prasad further suggests that if the government intends to discourage independent trekkers, they could consider increasing the cost of the entry permit to a higher value, such as USD 500/600, while also enhancing safety measures along the trails.
This approach would allow solo trekkers the freedom they desire while ensuring that those not trekking solo to save money have no issue paying the additional charges. This, he believes, is a more reasonable solution than obliging everyone to book a tour through an operator, which might not align with the preferences of individuals seeking an independent trekking experience.”
I was returning from Everest Base Camp Trek and asked a fellow traveller who used the TIMS card during their adventure, complaining about not finding any specific use or benefits of the permit along the route.
“I paid approximately USD 20 for the TIMS card, but despite spending that amount, I have not come across anyone actually checking it during my trek. Moreover, it doesn’t seem like a good idea to make it mandatory without providing a proper reason behind its implementation,” said Adam Mangin, a fellow trekker I met on the Everest trail.
But it is apparent that some see the true importance of this policy for high-altitude adventures. Patricia Wynne, the mother of Julian Wayne, a British trekking tourist who went missing in December 2008 during his solo adventure, speaking about the new policy, says if it were made mandatory back then, her son would probably be with her today.
Nepal’s government must adhere to these rising mixed concerns about the new mandatory TIMS policy and resolve it with tourists and operators finding a sustaining common ground.
Although the government has implemented a mandatory TIMS card, it is not being properly implemented locally on the field. Annapurna and Langtang regions inconsistently ask for TIMS, but in Everest, locals have kind of boycotted the TIMS system, and they have their own system of Khumbu GauPalika card.
I believe it is crucial for all stakeholders in the tourism industry to collaborate and reach a consensus on implementing a more systematic TIMS (Trekkers’ Information Management System). This approach should aim to benefit trekkers, locals, and tour operators and generate revenue for the Nepali government.",https://english.onlinekhabar.com/tims-card-pros-cons-nepal.html,travel
Floods and landslides block major road sections in western Nepal,"Tuesday, July 25, 2023","Kathmandu, July 25
Floods and landslides have blocked five major road sections across the country.
The Bhaluwang-Liwang road section is currently blocked at Khare Khola and Garjeni, as per the Department of Roads.
The department said the road has also been blocked at Kalimati in Palpa along the Siddharth Highway.
As per the details updated by the department, on Tuesday, the road was also blocked in Sitapur of Arghakhanchi along the Taulihwa-Gorusinghe-Sandhikhark road section.
Traffic has been affected by landslides in Kalikhola under the Narayangadh-Muglin road section since Tuesday morning.
The department said a team has been dispatched to the location, and they have successfully reopened the one-way road. But with landslides imminent, there are chances of the road getting blocked again.",https://english.onlinekhabar.com/floods-and-landslides-block-road.html,travel
